MAGIC PREFIX: StrangerMeet	Optional cloned name.  If blank, name from column A will be used. (Typical case.)  If not blank, a new interaction will be cloned from column A, using this new name.			Clones template interaction's aInverse, but if there is ANYTHING in this cell, overwrites template aInverse with cell (and replaces magic prefix).  Entries use pipe | as separator. (Commas optionally used in each entry e.g. Name,[us],them].)  eg. STKTemplate_Intro_Allow_Friendly, STKTemplate_Intro_Allow_Criminal -> PREFIX_Intro_Allow_Friendly, PREFIX_Intro_Allow_Criminal	S			Clones loot_stk_template, then adds aCOs or aLoots:  aCOs,TestCond=1.0x1,aLoots,TestLoot=0.5x1		Clones contrigs_stk_template, then adds aReqs or aForbids:  aReqs,string,string aForbids,string,string		Common overrides: fForcedChance, 1 PSpecTestThem, YOUR_TEST_HERE, bHumanOnly, true, bRandomInverse, false etc	
INTERACTIONS													
(PREFIX)Name	Clone To	Title	Desc	Inverse	Stage	nMove Type	Required	Loot for Us	Loot for Them	CT Test Us	CT Test Them	Other	Notes
Intro		Start Conversation	[us] [approaches] [them] to talk.		Intro	5	Y			aForbids,IsSocialGreeted	aForbids,IsSocialGreeted		Generic begin social combat convo.
Intro_Allow		Listen Briefly	[us] [pauses] briefly but [seems] eager to leave.		Intro		Y						NPC agrees to do social combat.
Intro_Allow_Enemy		Greet Enemy	[us] [rolls] [us-pos] eyes as [them] approaches.		Intro								
Intro_Allow_Friendly		Greet Friend	[us-pos] face flashes with recognition as [them] [approaches].	SocialCombatExitSilent,[us],[them]	Intro			aCOs,IsSocialGreeted=1.0x1	aCOs,IsSocialGreeted=1.0x1				
Intro_Allow_Drunk		Greet Drunkenly	[us] [peers] at [them] drunklenly as [them-subj] [approaches].		Intro								
Intro_Allow_HygieneBad		Greet Stinky	[us] [recoils] from [them-pos] filth as [them-subj] [approaches].		Intro								
Intro_Allow_PhysioBad		Greet Hurt	[us] [winces] in pain as [them-subj] [approaches], and says to make it quick.		Intro								
Intro_Deny_Cooldown		Cooldown Deny	[us] [says] to get lost, [us-subj] already said [us-subj] [us-doesn't] want to talk!	SocialCombatExitSilent,[us],[them]	Exit								
Fail_Hard_DcAutonomyBad		Insist on Getting Space	[us] [tells] [them] to back off, [us-subj] [doesn't] want to talk.		Exit	2	Y						Hard fail out of social combat. Triggered by DC in fail zone. NPC must choose this move anytime it triggers. Multiple possible
Gambit_SharedHomeworld		Shared Homeworld	[us] [tries] to bond over having a shared homeworld.		Gambit	1	Y						
Gambit_SharedHomeworld_Fail_Soft		Soft Refuse Shared Homeworld	[us] [says] a lot of people are from there, and [looks] ready to leave.										
Gambit_SharedHomeworld_Fail_Hard		Refuse Shared Homeworld	[us] [tells] [them] to get lost.	SocialCombatExitSilent,[us],[them]	Exit								
Gambit_SharedHomeworld_Allow		Continue Conversation Based on Homeworld	[us] [softens] [us-pos] stance a bit.	SocialCombatExitSilent,[us],[them]	Success	3	Y						
Gambit_SharedCrew		Fellow Crew	[us] [starts] talking about work.		Gambit								
Gambit_SharedCrew_Fail_Soft		Soft Refuse Talk Work	[us] [doesn't] feel like talking work.										
