MAGIC PREFIX: ShipSurrender_AIDemand	Optional cloned name.  If blank, name from column A will be used. (Typical case.)  If not blank, a new interaction will be cloned from column A, using this new name.			Clones template interaction's aInverse, but if there is ANYTHING in this cell, overwrites template aInverse with cell (and replaces magic prefix).  Entries use pipe | as separator. (Commas optionally used in each entry e.g. Name,[us],them].)  eg. STKTemplate_Intro_Allow_Friendly, STKTemplate_Intro_Allow_Criminal -> PREFIX_Intro_Allow_Friendly, PREFIX_Intro_Allow_Criminal	S			Clones loot_stk_template, then adds aCOs or aLoots:  aCOs,TestCond=1.0x1,aLoots,TestLoot=0.5x1		Clones contrigs_stk_template, then adds aReqs or aForbids:  aReqs,string,string aForbids,string,string		Common overrides: fForcedChance, 1 PSpecTestThem, YOUR_TEST_HERE, bHumanOnly, true, bRandomInverse, false etc	
INTERACTIONS													
(PREFIX)Name	Clone To	Title	Desc	Inverse	Stage	nMove Type	Required	Loot for Us	Loot for Them	CT Test Us	CT Test Them	Other	Notes
Intro		Demand Surrender	Stand down, or be destroyed.	STKShipSurrender_AIDemand_Intro_Deny_NoReasons|STKShipSurrender_AIDemand_Intro_Allow_TraitUs_Blank	Intro	5	Y	aCOs, -StatSecurity=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x23	aForbids,IsAngryCeasefireViolated,IsCruel,IsVengeful		bHumanOnly, false, bAIOnly, true, strActionGroup, Ship, fTargetPointRange, 0, fFactionScoreChangeThem, -25, strFactionTest, NOTDISLIKES	
Intro_Deny_TraitUs_Blank	Intro_Deny_NoReasons	Refuse	Negative. This ends in blood.		Exit	2	Y	aCOs, StatPrivacy=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x23			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0	
Intro_Allow_TraitUs_Blank		Agree	Don't shoot! I surrender.	STKShipSurrender_AIDemand_Intro_Deny_Default|STKShipSurrender_AIDemand_Intro_Allow_Friendly|STKShipSurrender_AIDemand_Intro_Allow_DcAltruismBad|STKShipSurrender_AIDemand_Intro_Allow_DcSecurityBad|STKShipSurrender_AIDemand_Intro_Allow_Faction_Likes|STKShipSurrender_AIDemand_Intro_Allow_TraitUs_Kind|STKShipSurrender_AIDemand_Intro_Allow_TraitUs_Forgiving|STKShipSurrender_AIDemand_Intro_Allow_TraitUs_Agliophobic				aCOs, StatPrivacy=1.0x12, -StatSecurity=1.0x23	aCOs, -StatSecurity=1.0x12			strColor, SocialStatusGreen, strActionGroup, Ship, fTargetPointRange, 0	
Intro_Deny_TraitUs_Blank	Intro_Deny_Default	Demand Money	Offer me money.	STKShipSurrender_PlayerOffer_Gambit_Altruism_1M|STKShipSurrender_PlayerOffer_Gambit_Altruism_500k|STKShipSurrender_PlayerOffer_Gambit_Altruism_100k|STKShipSurrender_PlayerOffer_Gambit_Altruism_50k|STKShipSurrender_PlayerOffer_Gambit_Altruism_10k|STKShipSurrender_PlayerOffer_Gambit_AltruismSecurity_SkillPersuade|STKShipSurrender_PlayerOffer_Gambit_AltruismSecurity_SkillSciencePsychology|STKShipSurrender_PlayerOffer_Gambit_Altruism_Beg				aCOs, StatAltruism=1.0x45, -StatAutonomy=1.0x45, StatSecurity=1.0x23	aCOs, StatAltuism=1.0x23, StatEsteem=1.0x23, StatMeaning=1.0x23, StatSecurity=1.0x45			strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 0	
Intro_Allow_Friendly		Allow friendly	Of course, what are friends for?		Success	3	Y	aCOs, IsSTKShipSurrender_PlayerOffer_AIAccepted=1.0x1, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, -StatFamily=1.0x45, StatMeaning=1.0x23, -StatSecurity=1.0x45			LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Allow_DcAltruismBad		Allow guilty	You're lucky I'm feeling nice today.		Success	3	Y	aCOs, IsSTKShipSurrender_PlayerOffer_AIAccepted=1.0x1, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, StatMeaning=1.0x23, -StatSecurity=1.0x45			LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Allow_DcSecurityBad		Allow afraid	Oh? Okay that worked? I accept.		Success	3	Y	aCOs, IsSTKShipSurrender_PlayerOffer_AIAccepted=1.0x1, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, StatMeaning=1.0x23, -StatSecurity=1.0x45			LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Allow_Faction_Likes		Allow liked faction	No problem. Our side needs all the help it can get.		Success	3	Y	aCOs, IsSTKShipSurrender_PlayerOffer_AIAccepted=1.0x1, -StatAltruism=1.0x45, -StatSecurity=1.0x23	aCOs, -StatAltruism=1.0x23, StatMeaning=1.0x23, -StatSecurity=1.0x45			LootCTsUs, CMDConsiderSurrender, strColor, SocialStatusGreen, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
