MAGIC PREFIX: ShipSurrender_PlayerDemand	Optional cloned name.  If blank, name from column A will be used. (Typical case.)  If not blank, a new interaction will be cloned from column A, using this new name.			Clones template interaction's aInverse, but if there is ANYTHING in this cell, overwrites template aInverse with cell (and replaces magic prefix).  Entries use pipe | as separator. (Commas optionally used in each entry e.g. Name,[us],them].)  eg. STKTemplate_Intro_Allow_Friendly, STKTemplate_Intro_Allow_Criminal -> PREFIX_Intro_Allow_Friendly, PREFIX_Intro_Allow_Criminal	S			Clones loot_stk_template, then adds aCOs or aLoots:  aCOs,TestCond=1.0x1,aLoots,TestLoot=0.5x1		Clones contrigs_stk_template, then adds aReqs or aForbids:  aReqs,string,string aForbids,string,string		Common overrides: fForcedChance, 1 PSpecTestThem, YOUR_TEST_HERE, bHumanOnly, true, bRandomInverse, false etc	
INTERACTIONS													
(PREFIX)Name	Clone To	Title	Desc	Inverse	Stage	nMove Type	Required	Loot for Us	Loot for Them	CT Test Us	CT Test Them	Other	Notes
Intro		Demand Surrender	Surrender, or be destroyed.	DEBUGNever	Intro	5	Y	aCOs, -StatSecurity=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x23			ShipTestUs, PlayerCurrentShip, strActionGroup, Ship, fTargetPointRange, 0, LootCTsThem, CMDConsiderPlayerDemandSurrender, fFactionScoreChangeThem, -25	Target AI uses loot TXTSurrenderPlayerDemandReplies to choose aInverse reply.
Intro_Deny_Blank_IgnoreCooldown	Intro_Deny_BreakLock	Refuse while targeted	Unlock us first, then we'll talk.		Exit	2	Y	aCOs, StatPrivacy=1.0x12	aCOs, StatPrivacy=1.0x12			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, ShipTestThem, IsTargetingOther, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1, PSpecTestThem, null	
Intro_Allow_DcSecurityBad		Allow scared	Okay! Anything you want! Just don't kill me.	STKShipSurrender_PlayerDemand_Exit_Truce| STKShipSurrender_PlayerDemand_Gambit_DemandMoney| STKShipSurrender_PlayerDemand_Gambit_DemandBoarding| STKShipSurrender_PlayerDemand_Gambit_DemandArrest_BCER| STKShipSurrender_PlayerDemand_Gambit_DemandArrest_BCRS				aCOs, StatPrivacy=1.0x12, -StatSecurity=1.0x23	aCOs, -StatSecurity=1.0x12			strColor, SocialStatusGreen, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_Cooldown		Refuse again	I already told you no way.		Exit	2	Y	aCOs, StatPrivacy=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x12			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_DcSecurityGood		Refuse not scared	Ha! You don't scare me.		Exit	2	Y	aCOs, StatPrivacy=1.0x12	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x12			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_TraitUs_Blank	Intro_Deny_Violated	Refuse violated	After what you pulled? I don't trust you anymore.		Exit	2	Y	aCOs, StatPrivacy=1.0x23, StatMeaning=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x12	aReqs,IsAngryCeasefireViolated		LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	Meaning hit
Intro_Deny_DcPrivacyBad		Refuse impatiently	I'm done talking to you.		Exit	2	Y	aCOs, StatPrivacy=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x12			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0, fForcedChance, 1	
Intro_Deny_TraitUs_Blank	Intro_Deny_NoReasons	Refuse	Negative. This ends in blood.		Exit	2	Y	aCOs, StatPrivacy=1.0x23	aCOs, StatPrivacy=1.0x23, StatSecurity=1.0x23			LootCTsUs, CTSocialCombatExitUs, LootCTsThem, CTSocialCombatExitThem, strContextLootThem, Default, strContextLootUs, Default, strActionGroup, Ship, fTargetPointRange, 0	
